Series Name;Series Code;Country Name;Country Code;1990 [YR1990];2000 [YR2000];2008 [YR2008];2009 [YR2009];2010 [YR2010];2011 [YR2011];2012 [YR2012];2013 [YR2013];2014 [YR2014];2015 [YR2015];2016 [YR2016];2017 [YR2017]
Primary education, pupils (% female);SE.PRM.ENRL.FE.ZS;United States;USA;48,66017151;48,39237976;48,92084885;48,99346161;48,65032959;49,01470184;48,5417099;48,71871185;48,83787918;48,93701935;..;..
Pupil-teacher ratio, primary;SE.PRM.ENRL.TC.ZS;United States;USA;..;15,00811005;13,68908024;13,87215042;13,59084034;14,28522015;14,42216015;14,45366955;14,53748989;14,45722961;..;..
School enrollment, primary (% gross);SE.PRM.ENRR;United States;USA;105,8056564;100,4557495;102,1462631;101,3027725;99,62718201;98,81971741;98,37927246;98,31374359;98,56803131;99,27944183;..;..
School enrollment, primary, female (% gross);SE.PRM.ENRR.FE;United States;USA;105,5071487;99,56909943;102,2748337;101,5594635;99,17424774;99,11994934;97,70439911;97,98834229;98,48441315;99,40061951;..;..
School enrollment, primary, male (% gross);SE.PRM.ENRR.MA;United States;USA;106,0901566;101,3016205;102,0234299;101,0574265;100,0601425;98,53282166;99,02449036;98,62489319;98,64797974;99,16358948;..;..
Gross intake ratio in first grade of primary education, female (% of relevant age group);SE.PRM.GINT.FE.ZS;United States;USA;..;99,51084137;112,127037;104,7982635;99,53331757;101,5202789;95,97473145;98,09803772;101,3267517;102,1795197;..;..
Gross intake ratio in first grade of primary education, male (% of relevant age group);SE.PRM.GINT.MA.ZS;United States;USA;..;105,5046234;107,4526672;100,3331833;102,2448578;98,7383194;103,360817;101,2427368;101,425087;99,89234161;..;..
Gross intake ratio in first grade of primary education, total (% of relevant age group);SE.PRM.GINT.ZS;United States;USA;..;102,5784302;109,7378998;102,5159302;100,9195023;100,0978699;99,75081635;99,70568848;101,3770218;101,0102615;..;..
School enrollment, primary (% net);SE.PRM.NENR;United States;USA;98,64874268;94,74723053;95,11688995;93,85852814;92,71695709;91,9122467;92,05748749;91,74311829;92,19660187;92,94197845;..;..
School enrollment, primary, female (% net);SE.PRM.NENR.FE;United States;USA;98,96708679;94,70278168;95,56359863;94,74062347;92,91564178;92,62445831;91,99391174;91,76142883;92,62161255;93,48220062;..;..
School enrollment, primary, male (% net);SE.PRM.NENR.MA;United States;USA;98,34532928;94,78964996;94,69010925;93,01544952;92,52706146;91,23162842;92,1182785;91,72560883;91,79022217;92,4254837;..;..
Net intake rate in grade 1, female (% of official school-age population);SE.PRM.NINT.FE.ZS;United States;USA;..;..;81,95581055;76,88353729;75,7942276;..;..;71,83601379;74,45857239;74,19294739;..;..
Net intake rate in grade 1, male (% of official school-age population);SE.PRM.NINT.MA.ZS;United States;USA;..;..;75,0477829;70,46340942;75,71929169;..;..;68,66893768;71,61376953;68,70658875;..;..
Net intake rate in grade 1 (% of official school-age population);SE.PRM.NINT.ZS;United States;USA;..;..;78,42501068;73,60188293;75,75592041;..;..;70,21692657;73,00422668;71,38818359;..;..
Over-age students, primary, female (% of female enrollment);SE.PRM.OENR.FE.ZS;United States;USA;5,017990112;4,00153017;5,654150009;5,441430092;5,451590061;5,650670052;4,860569954;5,330420017;4,835619926;4,992980003;..;..
Over-age students, primary, male (% of male enrollment);SE.PRM.OENR.MA.ZS;United States;USA;6,539599895;5,451459885;6,287529945;6,837910175;6,492489815;6,319200039;6,158810139;6,195250034;6,058340073;5,881370068;..;..
Over-age students, primary (% of enrollment);SE.PRM.OENR.ZS;United States;USA;5,799180031;4,749800205;5,977670193;6,153729916;5,986090183;5,991519928;5,528619766;5,773920059;5,461190224;5,446619987;..;..
School enrollment, primary, private (% of total primary);SE.PRM.PRIV.ZS;United States;USA;11,98886967;11,57565022;9,682160378;9,760390282;8,894530296;8,721910477;8,403320313;8,252590179;8,073889732;8,292169571;..;..
Persistence to grade 5, female (% of cohort);SE.PRM.PRS5.FE.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Persistence to grade 5, male (% of cohort);SE.PRM.PRS5.MA.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Persistence to grade 5, total (% of cohort);SE.PRM.PRS5.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Persistence to last grade of primary, female (% of cohort);SE.PRM.PRSL.FE.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Persistence to last grade of primary, male (% of cohort);SE.PRM.PRSL.MA.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Persistence to last grade of primary, total (% of cohort);SE.PRM.PRSL.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Repeaters, primary, female (% of female enrollment);SE.PRM.REPT.FE.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Repeaters, primary, male (% of male enrollment);SE.PRM.REPT.MA.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Repeaters, primary, total (% of total enrollment);SE.PRM.REPT.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Trained teachers in primary education, female (% of female teachers);SE.PRM.TCAQ.FE.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Trained teachers in primary education, male (% of male teachers);SE.PRM.TCAQ.MA.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Trained teachers in primary education (% of total teachers);SE.PRM.TCAQ.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Primary education, teachers;SE.PRM.TCHR;United States;USA;..;1663979;1802647;1772359;1794812;1710276;1690587;1689374,125;1687937;1714415;..;..
Literacy rate, youth female (% of females ages 15-24);SE.ADT.1524.LT.FE.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Literacy rate, youth (ages 15-24), gender parity index (GPI);SE.ADT.1524.LT.FM.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Literacy rate, youth male (% of males ages 15-24);SE.ADT.1524.LT.MA.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Literacy rate, youth total (% of people ages 15-24);SE.ADT.1524.LT.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Literacy rate, adult female (% of females ages 15 and above);SE.ADT.LITR.FE.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Literacy rate, adult male (% of males ages 15 and above);SE.ADT.LITR.MA.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Primary education, teachers (% female);SE.PRM.TCHR.FE.ZS;United States;USA;..;86,46864319;85,63822937;86,71087646;86,71286774;86,7069397;87,15232849;87,15602112;87,15969849;87,14785767;..;..
Adjusted net enrollment rate, primary (% of primary school age children);SE.PRM.TENR;United States;USA;98,64874268;95,64801025;96,32083893;95,06217194;93,87744141;92,93203735;92,98916626;92,78018188;93,12375641;93,63775635;..;..
Adjusted net enrollment rate, primary, female (% of primary school age children);SE.PRM.TENR.FE;United States;USA;98,96708679;95,57584381;96,66677856;96,03954315;94,18904114;93,69431305;93,09638214;92,940979;93,72322845;94,16158295;..;..
Adjusted net enrollment rate, primary, male (% of primary school age children);SE.PRM.TENR.MA;United States;USA;98,34532928;95,71687317;95,99033356;94,12802124;93,57956696;92,2035675;92,88667297;92,62641907;92,55056763;93,13694;..;..
Children out of school, primary;SE.PRM.UNER;United States;USA;284529;..;..;..;..;..;..;..;..;..;..;..
Children out of school, primary, female;SE.PRM.UNER.FE;United States;USA;106133;..;..;..;..;..;..;..;..;..;..;..
Children out of school, female (% of female primary school age);SE.PRM.UNER.FE.ZS;United States;USA;1,032909989;..;..;..;..;..;..;..;..;..;..;..
Children out of school, primary, male;SE.PRM.UNER.MA;United States;USA;178396;..;..;..;..;..;..;..;..;..;..;..
Children out of school, male (% of male primary school age);SE.PRM.UNER.MA.ZS;United States;USA;1,65467;..;..;..;..;..;..;..;..;..;..;..
Children out of school (% of primary school age);SE.PRM.UNER.ZS;United States;USA;1,351259947;..;..;..;..;..;..;..;..;..;..;..
Lower secondary school starting age (years);SE.SEC.AGES;United States;USA;12;12;12;12;12;12;12;12;12;12;12;12
Lower secondary completion rate, female (% of relevant age group);SE.SEC.CMPT.LO.FE.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Lower secondary completion rate, male (% of relevant age group);SE.SEC.CMPT.LO.MA.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Lower secondary completion rate, total (% of relevant age group);SE.SEC.CMPT.LO.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Secondary education, duration (years);SE.SEC.DURS;United States;USA;6;6;6;6;6;6;6;6;6;6;6;6
Secondary education, pupils;SE.SEC.ENRL;United States;USA;19276000;22593562;24692888;24524564;24192786;24214304;24122437;24095459,34;24229777;24417185,77;..;..
Secondary education, pupils (% female);SE.SEC.ENRL.FE.ZS;United States;USA;48,66674042;48,99744034;48,62802887;49,08786011;49,00733185;48,85834885;48,91249847;48,87004089;49,14493942;49,17237091;..;..
Secondary education, general pupils;SE.SEC.ENRL.GC;United States;USA;19276000;22593562;24692888;24524564;24192786;24214304;24122437;24095459,34;24229777;24417185,77;..;..
Secondary education, general pupils (% female);SE.SEC.ENRL.GC.FE.ZS;United States;USA;48,66674042;48,99744034;48,62802887;49,08786011;49,00733185;48,85834885;48,91249847;48,87004089;49,14493942;49,17237091;..;..
Pupil-teacher ratio, lower secondary;SE.SEC.ENRL.LO.TC.ZS;United States;USA;..;15,69795036;13,81873035;13,70086002;13,38411045;14,52377033;14,67389965;14,71113014;14,7988596;14,70835018;..;..
Pupil-teacher ratio, secondary;SE.SEC.ENRL.TC.ZS;United States;USA;..;14,60579967;14,37658978;13,96016979;13,75942993;14,49055958;14,66372013;14,69573975;14,78682995;14,69696999;..;..
Pupil-teacher ratio, upper secondary;SE.SEC.ENRL.UP.TC.ZS;United States;USA;..;13,47817039;15,03571987;14,25144958;14,1840601;14,45586014;14,65301991;14,67932034;14,77404022;14,6849699;..;..
Secondary education, vocational pupils;SE.SEC.ENRL.VO;United States;USA;0;..;..;..;..;..;..;..;..;..;..;..
Secondary education, vocational pupils (% female);SE.SEC.ENRL.VO.FE.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
School enrollment, secondary (% gross);SE.SEC.ENRR;United States;USA;91,28704071;94,03121948;94,3737793;93,91124725;93,03385925;93,72554779;94,12753296;94,74015045;95,88491058;97,18483734;..;..
School enrollment, secondary, female (% gross);SE.SEC.ENRR.FE;United States;USA;91,36431122;94,49638367;94,21520996;94,62602234;93,58374023;93,9777832;94,34658813;94,76934052;96,37895966;97,69841003;..;..
School enrollment, secondary, male (% gross);SE.SEC.ENRR.MA;United States;USA;91,21389008;93,58865356;94,52436829;93,23223114;92,51145172;93,48584747;93,91873932;94,71227264;95,41226959;96,69309998;..;..
School enrollment, secondary (% net);SE.SEC.NENR;United States;USA;..;86,88871765;88,55860138;87,94101715;86,69602203;87,63204193;87,32827759;88,12046814;88,90480042;90,83441925;..;..
School enrollment, secondary, female (% net);SE.SEC.NENR.FE;United States;USA;..;87,97950745;89,30879211;89,0690918;87,47606659;88,37506104;88,30680084;88,6530838;90,02619171;92,21456909;..;..
School enrollment, secondary, male (% net);SE.SEC.NENR.MA;United States;USA;..;85,85088348;87,84616089;86,86937714;85,9549408;86,92591858;86,39568329;87,61170197;87,8319931;89,51296234;..;..
School enrollment, secondary, private (% of total secondary);SE.SEC.PRIV.ZS;United States;USA;..;9,652649879;8,778079987;8,927140236;8,428380013;8,270549774;8,218099594;8,091580391;7,911389828;8,1479702;..;..
Progression to secondary school, female (%);SE.SEC.PROG.FE.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Progression to secondary school, male (%);SE.SEC.PROG.MA.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Progression to secondary school (%);SE.SEC.PROG.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Trained teachers in secondary education, female (% of female teachers);SE.SEC.TCAQ.FE.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Trained teachers in lower secondary education, female (% of female teachers);SE.SEC.TCAQ.LO.FE.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Trained teachers in lower secondary education, male (% of male teachers);SE.SEC.TCAQ.LO.MA.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Trained teachers in lower secondary education (% of total teachers);SE.SEC.TCAQ.LO.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Trained teachers in secondary education, male (% of male teachers);SE.SEC.TCAQ.MA.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Trained teachers in upper secondary education, female (% of female teachers);SE.SEC.TCAQ.UP.FE.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Trained teachers in upper secondary education, male (% of male teachers);SE.SEC.TCAQ.UP.MA.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Trained teachers in upper secondary education (% of total teachers);SE.SEC.TCAQ.UP.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Trained teachers in secondary education (% of total teachers);SE.SEC.TCAQ.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Secondary education, teachers;SE.SEC.TCHR;United States;USA;..;1546890;1717576;1756753;1758269;1671040;1645042;1639621,875;1638605,75;1661375;..;..
Secondary education, teachers, female;SE.SEC.TCHR.FE;United States;USA;..;860016;1036667;1076563;1078412;1021795;1019963;1017171,75;1016414,188;1030211;..;..
Secondary education, teachers (% female);SE.SEC.TCHR.FE.ZS;United States;USA;..;55,59645081;60,35639954;61,28141022;61,33372879;61,14725113;62,00225067;62,03696823;62,02920914;62,00954056;..;..
Adolescents out of school, female (% of female lower secondary school age);SE.SEC.UNER.LO.FE.ZS;United States;USA;..;..;..;..;1,748600006;0,568859994;1,526129961;1,100260019;1,159420013;..;..;..
Adolescents out of school, male (% of male lower secondary school age);SE.SEC.UNER.LO.MA.ZS;United States;USA;..;..;..;..;3,759730101;1,241590023;2,141279936;1,051069975;2,52083993;..;..;..
Adolescents out of school (% of lower secondary school age);SE.SEC.UNER.LO.ZS;United States;USA;..;..;..;..;2,778939962;0,913309991;1,840690017;1,075119972;1,855020046;0,948960006;..;..
Pupil-teacher ratio, tertiary;SE.TER.ENRL.TC.ZS;United States;USA;16,4296093;12,84539032;13,30630016;13,59372997;14,19435024;14,18686008;13,77915001;12,75794983;12,46113968;12,3545599;..;..
School enrollment, tertiary (% gross);SE.TER.ENRR;United States;USA;71,04592896;..;..;..;..;..;..;..;..;..;..;..
School enrollment, tertiary, female (% gross);SE.TER.ENRR.FE;United States;USA;79,86476135;..;..;..;..;..;..;..;..;..;..;..
School enrollment, tertiary, male (% gross);SE.TER.ENRR.MA;United States;USA;62,81032944;..;..;..;..;..;..;..;..;..;..;..
Tertiary education, academic staff (% female);SE.TER.TCHR.FE.ZS;United States;USA;35,19417191;41,3843689;45,76218033;46,4569397;47,11891174;47,67607117;48,20233154;48,59170151;49,10628891;49,10628891;..;..
Current education expenditure, primary (% of total expenditure in primary public institutions);SE.XPD.CPRM.ZS;United States;USA;..;..;..;..;90,27449799;91,20539856;91,1892395;92,20478058;92,28652954;..;..;..
Current education expenditure, secondary (% of total expenditure in secondary public institutions);SE.XPD.CSEC.ZS;United States;USA;..;..;..;..;90,27449799;91,20539856;91,1892395;92,20478058;92,28652954;..;..;..
Current education expenditure, tertiary (% of total expenditure in tertiary public institutions);SE.XPD.CTER.ZS;United States;USA;..;..;..;..;89,04972076;88,73040771;85,42604065;89,63469696;89,13581848;..;..;..
Current education expenditure, total (% of total expenditure in public institutions);SE.XPD.CTOT.ZS;United States;USA;..;..;..;..;89,91200256;90,44444275;89,33738708;91,39936829;91,28842163;..;..;..
All education staff compensation, primary (% of total expenditure in primary public institutions);SE.XPD.MPRM.ZS;United States;USA;..;..;..;..;73,61617279;74,11875153;74,20365143;74,8807373;74,72167206;..;..;..
All education staff compensation, secondary (% of total expenditure in secondary public institutions);SE.XPD.MSEC.ZS;United States;USA;..;..;..;..;73,61617279;74,11875153;74,20365143;74,8807373;74,72167206;..;..;..
All education staff compensation, tertiary (% of total expenditure in tertiary public institutions);SE.XPD.MTER.ZS;United States;USA;..;..;..;..;59,3862114;58,74393082;56,08132935;59,37424088;58,7522316;..;..;..
All education staff compensation, total (% of total expenditure in public institutions);SE.XPD.MTOT.ZS;United States;USA;..;..;..;..;69,40447235;69,39163971;68,38053131;70,02133179;69,68537903;..;..;..
Government expenditure per student, primary (% of GDP per capita);SE.XPD.PRIM.PC.ZS;United States;USA;..;..;..;..;22,0995903;20,89283943;20,56071091;19,7774601;19,90872002;..;..;..
Expenditure on primary education (% of government expenditure on education);SE.XPD.PRIM.ZS;United States;USA;..;..;..;..;32,42158127;31,5869503;30,9632206;31,10906029;30,96455002;..;..;..
Government expenditure per student, secondary (% of GDP per capita);SE.XPD.SECO.PC.ZS;United States;USA;..;..;..;..;24,34056091;23,93985939;22,81010056;22,65673065;22,50008011;..;..;..
Expenditure on secondary education (% of government expenditure on education);SE.XPD.SECO.ZS;United States;USA;..;..;..;..;35,41613007;35,87160873;33,98508072;35,16778946;34,55485916;..;..;..
Government expenditure per student, tertiary (% of GDP per capita);SE.XPD.TERT.PC.ZS;United States;USA;..;..;..;..;20,88006973;20,07913017;21,95082092;21,16189957;22,02529907;..;..;..
Expenditure on tertiary education (% of government expenditure on education);SE.XPD.TERT.ZS;United States;USA;..;..;..;..;25,65288925;26,11288071;28,46349907;27,2271595;27,50227928;..;..;..
Government expenditure on education, total (% of government expenditure);SE.XPD.TOTL.GB.ZS;United States;USA;..;..;..;..;13,05513954;12,93340969;13,38630009;13,27651024;13,45188046;..;..;..
Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;United States;USA;..;..;..;..;5,42001009;5,223899841;5,194859982;4,943789959;4,989480019;..;..;..
Labor force, female (% of total labor force);SL.TLF.TOTL.FE.ZS;United States;USA;44,31831431;45,55853707;45,95628418;46,16303097;46,16476705;46,09462315;45,9708306;45,89433899;45,95016013;45,84635199;45,84829298;45,82114962
Labor force, total;SL.TLF.TOTL.IN;United States;USA;127939293;146767599;157089439;157204266;157020019;157140853;158431599;158992230;159770638;160767077;162636705;163365624
Unemployment, female (% of female labor force) (modeled ILO estimate);SL.UEM.TOTL.FE.ZS;United States;USA;..;4,093999863;5,403999805;8,046999931;8,600999832;8,463999748;7,888999939;7,078999996;6,063000202;5,173999786;4,789000034;4,376999855
Unemployment, male (% of male labor force) (modeled ILO estimate);SL.UEM.TOTL.MA.ZS;United States;USA;..;3,903000116;6,099999905;10,28100014;10,51200008;9,364999771;8,223999977;7,636000156;6,261000156;5,368999958;4,93900013;4,489999771
Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;United States;USA;..;3,99000001;5,78000021;9,25;9,630000114;8,949999809;8,069999695;7,380000114;6,170000076;5,28000021;4,869999886;4,438000202
Population ages 0-14 (% of total);SP.POP.0014.TO.ZS;United States;USA;21,68417805;21,70027348;20,50507237;20,33340621;20,17245509;19,98847695;19,78093935;19,57164656;19,37907139;19,21286031;19,02823147;..
Population ages 15-64 (% of total);SP.POP.1564.TO.ZS;United States;USA;65,69173003;65,97939786;66,9131617;66,91570256;66,85569662;66,76900153;66,66229595;66,52489107;66,35360103;66,14679627;65,94029129;..
Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative);SE.PRM.CUAT.ZS;United States;USA;..;..;98,67672729;98,59417725;98,68843079;98,71730042;98,79048157;98,86701965;98,79341125;98,77388;..;..
Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative);SE.PRM.CUAT.FE.ZS;United States;USA;..;..;98,73200989;98,62149048;98,70539093;98,7037735;98,82814026;98,86884308;98,76638031;98,7678299;..;..
Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative);SE.PRM.CUAT.MA.ZS;United States;USA;..;..;98,61711884;98,56479645;98,6701889;98,73181915;98,7496109;98,8650589;98,82260895;98,78043365;..;..
Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative);SE.SEC.CUAT.LO.ZS;United States;USA;..;..;94,48554993;94,53521729;94,76950073;94,90273285;94,98448944;95,20452881;95,26347351;95,33496857;..;..
Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative);SE.SEC.CUAT.LO.FE.ZS;United States;USA;..;..;94,7097168;94,71217346;94,93398285;95,04402161;95,143013;95,3915863;95,42984772;95,4783783;..;..
Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative);SE.SEC.CUAT.LO.MA.ZS;United States;USA;..;..;94,24378204;94,34481049;94,59259033;94,75115204;94,8125;95,0018692;95,0836792;95,17978668;..;..
Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative);SE.SEC.CUAT.UP.ZS;United States;USA;..;..;86,61412811;86,70908356;87,14940643;87,59088898;87,67910004;88,1503067;88,31358337;88,41197205;..;..
Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative);SE.SEC.CUAT.UP.FE.ZS;United States;USA;..;..;87,22640228;87,13266754;87,66014862;88,04637146;88,03672791;88,62399292;88,85883331;88,75894165;..;..
Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative);SE.SEC.CUAT.UP.MA.ZS;United States;USA;..;..;85,9538269;86,25327301;86,60009003;87,102211;87,29109192;87,63709259;87,72440338;88,03655243;..;..
Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative);SE.SEC.CUAT.PO.ZS;United States;USA;45,23981094;..;..;..;..;..;..;..;..;..;..;..
Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative);SE.SEC.CUAT.PO.FE.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative);SE.SEC.CUAT.PO.MA.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative);SE.TER.CUAT.ST.ZS;United States;USA;..;..;38,25891113;38,6207695;39,13742065;39,94493866;40,6632309;41,50466919;41,88970184;42,33750916;..;..
Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative);SE.TER.CUAT.ST.FE.ZS;United States;USA;..;..;38,44067001;39,15296936;39,89921951;40,53131866;41,12231064;42,16468048;42,87371826;43,43289948;..;..
Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative);SE.TER.CUAT.ST.MA.ZS;United States;USA;..;..;38,06288147;38,048069;38,3180809;39,31583023;40,16514969;40,78956985;40,82641983;41,15227127;..;..
Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.BA.ZS;United States;USA;..;..;..;..;..;..;..;31,66065979;31,9557991;32,50075912;..;..
Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative);SE.TER.CUAT.BA.FE.ZS;United States;USA;..;..;..;..;..;..;..;31,39076042;32,00146866;32,67396164;..;..
Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative);SE.TER.CUAT.BA.MA.ZS;United States;USA;..;..;..;..;..;..;..;31,95309067;31,90644073;32,31335831;..;..
Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.MS.ZS;United States;USA;..;..;..;..;..;..;..;11,56643963;11,76535988;11,99485016;..;..
Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative);SE.TER.CUAT.MS.FE.ZS;United States;USA;..;..;..;..;..;..;..;11,20827961;11,61701965;11,9889698;..;..
Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative);SE.TER.CUAT.MS.MA.ZS;United States;USA;..;..;..;..;..;..;..;11,95448971;11,92564011;12,00119972;..;..
Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative);SE.TER.CUAT.DO.ZS;United States;USA;..;..;..;..;..;..;..;1,677160025;1,76947999;1,701310039;..;..
Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative);SE.TER.CUAT.DO.FE.ZS;United States;USA;..;..;..;..;..;..;..;1,18780005;1,264150023;1,36390996;..;..
Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative);SE.TER.CUAT.DO.MA.ZS;United States;USA;..;..;..;..;..;..;..;2,207360029;2,315520048;2,066400051;..;..
2005 PPP conversion factor, GDP (LCU per international $);PA.NUS.PPP.05;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
